**** Molotov v1.6. Happy breaking! ****
Testing stage.normandy.nonprod.cloudops.mozgcp.net
Preparing 1 worker...
OK
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 0
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 7 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 16 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 24 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 33 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 42 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 52 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 62 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 71 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 81 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 82 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 82 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 82 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 82 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 91 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 100 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 110 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 120 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 130 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 139 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 149 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 158 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 168 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 177 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 187 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 197 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 206 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 216 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 225 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 235 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 245 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 254 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 264 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 273 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 283 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 292 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 302 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 312 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 321 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 330 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 340 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 349 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 359 | FAILURES: 0 | WORKERS: 1
