1
 14:01:55 up 1 day, 15:42,  2 users,  load average: 0.00, 0.00, 0.00
Testing stage.normandy.nonprod.cloudops.mozgcp.net
3
 14:06:56 up 1 day, 15:47,  3 users,  load average: 0.14, 0.12, 0.05
Testing stage.normandy.nonprod.cloudops.mozgcp.net
5
 14:11:59 up 1 day, 15:52,  3 users,  load average: 0.46, 0.33, 0.15
Testing stage.normandy.nonprod.cloudops.mozgcp.net
7
 14:17:01 up 1 day, 15:57,  3 users,  load average: 0.49, 0.45, 0.26
Testing stage.normandy.nonprod.cloudops.mozgcp.net
9
 14:22:04 up 1 day, 16:02,  3 users,  load average: 1.16, 0.94, 0.54
Testing stage.normandy.nonprod.cloudops.mozgcp.net
11
 14:27:08 up 1 day, 16:07,  3 users,  load average: 1.89, 1.35, 0.82
Testing stage.normandy.nonprod.cloudops.mozgcp.net
13
 14:32:10 up 1 day, 16:12,  3 users,  load average: 2.24, 1.91, 1.22
Testing stage.normandy.nonprod.cloudops.mozgcp.net
15
 14:37:12 up 1 day, 16:17,  3 users,  load average: 3.09, 2.59, 1.70
**** Molotov v1.6. Happy breaking! ****
Testing stage.normandy.nonprod.cloudops.mozgcp.net
Forking 8 processes
[25469] Preparing 15 workers...
[25469] OK
[25470] Preparing 15 workers...
[25470] OK
[25471] Preparing 15 workers...
[25471] OK
[25473] Preparing 15 workers...
[25473] OK
[25475] Preparing 15 workers...
[25475] OK
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 5
[25479] Preparing 15 workers...
[25477] Preparing 15 workers...
[25481] Preparing 15 workers...
[25481] OK
[25479] OK
[25477] OK
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 157 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 997 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 1808 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 2586 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 3375 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 4146 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 4953 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 5841 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 6709 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 7556 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 8330 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 9126 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 9886 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 10696 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 11521 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 12333 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 13213 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 14093 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 14932 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 15734 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 16545 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 17345 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 18193 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 18963 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 19698 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 20509 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 21289 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 22064 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 22811 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 23509 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 24257 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 25030 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 25782 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 26549 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 27349 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 28067 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 28822 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 29571 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 30362 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 31211 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 31985 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 32789 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 33623 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 34409 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 35181 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 35936 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 36717 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 37462 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 38182 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 38943 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 39696 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 40414 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 41191 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 41966 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 42781 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 43543 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 44279 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 45014 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 45785 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 46540 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 47284 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 48006 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 48715 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 49459 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 50205 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 50882 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 51558 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 52284 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 53013 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 53765 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 54505 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 55236 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 55971 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 56740 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 57499 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 58297 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 59039 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 59766 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 60500 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 61241 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 62012 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 62763 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 63576 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 64344 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 65107 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 65804 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 66548 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 67308 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 68121 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 68917 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 69681 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 70433 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 71204 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 71941 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 72681 | FAILURES: 0 | WORKERS: 120
SUCCESSES: 73424 | FAILURES: 0 | WORKERS: 120
